CategoryCode;CategoryName;CPU;ManufacturerCode;ManufacturerName;Model;OS;Price;RAM;Screen;Storage
4;Notebook;Intel Pentium Quad Core N3710 1.6GHz;4;Dell;Inspiron 3552;Linux ;13564,746;4;15.6 col - 1366x768;500GB HDD
4;Notebook;AMD A6-Series 9220 2.5GHz;6;HP;255 G6;Windows 10;16704,7335;4;15.6 col - 1366x768;500GB HDD
4;Notebook;Intel Core i3 6100U 2.3GHz;7;Lenovo;IdeaPad 310-15ISK;Windows 10;23822,0385;6;15.6 col - Full HD 1920x1080;128GB SSD
4;Notebook;Intel Core i5 6200U 2.3GHz;7;Lenovo;ThinkPad L460;Windows 10;44880,888;8;14.0 col - IPS Panel Full HD 1920x1080;256GB SSD
4;Notebook;Intel Pentium Quad Core N3700 1.6GHz;4;Dell;Inspiron 3552;Windows 10;18588,30734;4;15.6 col - 1366x768;500GB HDD
4;Notebook;Intel Celeron Dual Core N3350 1.1GHz;3;Asus;X541NA-GO020T (N3350/4GB/1TB/W10);Windows 10;14192,7435;4;15.6 col - 1366x768;1TB HDD
2;Gaming;Intel Core i7 6700HQ 2.6GHz;3;Asus;Rog G752VT-GC073T;Windows 10;79546,35;16;17.3 col - IPS Panel Full HD 1920x1080;128GB SSD +  1TB HDD
4;Notebook;Intel Core i3 6006U 2GHz;4;Dell;Vostro 3568;Windows 10;20514,585;4;15.6 col - 1366x768;500GB HDD
4;Notebook;Intel Core i7 6500U 2.5GHz;7;Lenovo;B51-80 (i7-6500U/8GB/1008GB/Radeon;Windows 7;37470,5175;8;15.6 col - Full HD 1920x1080;1TB Hybrid
2;Gaming;Intel Core i7 6700HQ 2.6GHz;8;MSI;GE62 Apache;Windows 10;51453,9285;8;15.6 col - Full HD 1920x1080;128GB SSD +  1TB HDD
1;2 in 1 Convertible;Intel Core i5 6200U 2.3GHz;7;Lenovo;Yoga 500-14IBD;Windows 10;34875,21317;4;14.0 col - Full HD / Touchscreen 1920x1080;128GB SSD
5;Ultrabook;Intel Core M 6Y30 0.9GHz;3;Asus;ZenBook UX305CA-UBM1;Windows 10;30520,6785;8;13.3 col - IPS Panel Full HD 1920x1080;512GB SSD
4;Notebook;Intel Core i3 7100U 2.4GHz;4;Dell;Inspiron 3567;Windows 10;19216,7235;6;15.6 col - 1366x768;1TB HDD
4;Notebook;Intel Celeron Dual Core N3060 1.6GHz;1;Acer;Aspire ES1-531;Linux ;12099,4185;4;15.6 col - 1366x768;500GB HDD
4;Notebook;Intel Celeron Dual Core N3050 1.6GHz;4;Dell;Inspiron 3552;Windows 10;15867,4035;2;15.6 col - 1366x768;500GB HDD
4;Notebook;Intel Core i7 6700HQ 2.6GHz;7;Lenovo;IdeaPad Y700-15ISK;Windows 10;37637,9835;8;15.6 col - IPS Panel Full HD 1920x1080;1TB HDD
4;Notebook;AMD A9-Series 9410 2.9GHz;6;HP;Pavilion 15-AW003nv;Windows 10;23026,15634;6;15.6 col - Full HD 1920x1080;1TB Hybrid
4;Notebook;Intel Core i7 7500U 2.7GHz;4;Dell;Inspiron 3567;Linux ;33743,98034;8;15.6 col - 1366x768;1TB HDD
3;Netbook;Intel Celeron Dual Core N3060 1.6GHz;6;HP;Stream 11-Y000na;Windows 10;8750,0985;2;11.6 col - 1366x768;32GB Flash Storage
4;Notebook;Intel Core i7 6500U 2.5GHz;3;Asus;X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce;Windows 10;30157,27728;4;15.6 col - 1366x768;500GB HDD
1;2 in 1 Convertible;Intel Core i7 6500U 2.5GHz;7;Lenovo;Yoga 500-14ISK;Windows 10;26710,827;4;14.0 col - IPS Panel Full HD / Touchscreen 1920x1080;128GB SSD
1;2 in 1 Convertible;Intel Core i7 6500U 2.5GHz;7;Lenovo;Yoga 900-13ISK;Windows 10;62757,8835;16;13.3 col - IPS Panel Quad HD+ / Touchscreen 3200x1800;512GB SSD
4;Notebook;Intel Celeron Dual Core N3050 1.6GHz;7;Lenovo;IdeaPad 100S-14IBR;Windows 10;9587,4285;2;14.0 col - 1366x768;64GB Flash Storage
4;Notebook;Intel Core i7 6500U 2.5GHz;6;HP;15-AC110nv (i7-6500U/6GB/1TB/Radeon;Windows 10;31986,006;6;15.6 col - 1366x768;1TB HDD
4;Notebook;Intel Celeron Dual Core N3050 1.6GHz;3;Asus;X553SA-XX031T (N3050/4GB/500GB/W10);Windows 10;15448,7385;4;15.6 col - 1366x768;500GB HDD
5;Ultrabook;Intel Core M 6Y30 0.9GHz;3;Asus;ZenBook UX305CA-UBM1;Windows 10;30520,6785;8;13.3 col - IPS Panel Full HD 1920x1080;512GB SSD
4;Notebook;Intel Core i3 7100U 2.4GHz;4;Dell;Inspiron 3567;Windows 10;19216,7235;6;15.6 col - 1366x768;1TB HDD
4;Notebook;Intel Celeron Dual Core N3060 1.6GHz;1;Acer;Aspire ES1-531;Linux ;12099,4185;4;15.6 col - 1366x768;500GB HDD
4;Notebook;Intel Celeron Dual Core N3050 1.6GHz;4;Dell;Inspiron 3552;Windows 10;15867,4035;2;15.6 col - 1366x768;500GB HDD
4;Notebook;Intel Core i7 6700HQ 2.6GHz;7;Lenovo;IdeaPad Y700-15ISK;Windows 10;37637,9835;8;15.6 col - IPS Panel Full HD 1920x1080;1TB HDD
4;Notebook;AMD A9-Series 9410 2.9GHz;6;HP;Pavilion 15-AW003nv;Windows 10;23026,15634;6;15.6 col - Full HD 1920x1080;1TB Hybrid
4;Notebook;Intel Core i7 7500U 2.7GHz;4;Dell;Inspiron 3567;Linux ;33743,98034;8;15.6 col - 1366x768;1TB HDD
3;Netbook;Intel Celeron Dual Core N3060 1.6GHz;6;HP;Stream 11-Y000na;Windows 10;8750,0985;2;11.6 col - 1366x768;32GB Flash Storage
4;Notebook;Intel Core i7 6500U 2.5GHz;3;Asus;X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce;Windows 10;30157,27728;4;15.6 col - 1366x768;500GB HDD
1;2 in 1 Convertible;Intel Core i7 6500U 2.5GHz;7;Lenovo;Yoga 500-14ISK;Windows 10;26710,827;4;14.0 col - IPS Panel Full HD / Touchscreen 1920x1080;128GB SSD
1;2 in 1 Convertible;Intel Core i7 6500U 2.5GHz;7;Lenovo;Yoga 900-13ISK;Windows 10;62757,8835;16;13.3 col - IPS Panel Quad HD+ / Touchscreen 3200x1800;512GB SSD
4;Notebook;Intel Celeron Dual Core N3050 1.6GHz;7;Lenovo;IdeaPad 100S-14IBR;Windows 10;9587,4285;2;14.0 col - 1366x768;64GB Flash Storage
4;Notebook;Intel Core i7 6500U 2.5GHz;6;HP;15-AC110nv (i7-6500U/6GB/1TB/Radeon;Windows 10;31986,006;6;15.6 col - 1366x768;1TB HDD
4;Notebook;Intel Celeron Dual Core N3050 1.6GHz;3;Asus;X553SA-XX031T (N3050/4GB/500GB/W10);Windows 10;15448,7385;4;15.6 col - 1366x768;500GB HDD
5;Ultrabook;Intel Core M 6Y30 0.9GHz;3;Asus;ZenBook UX305CA-UBM1;Windows 10;30520,6785;8;13.3 col - IPS Panel Full HD 1920x1080;512GB SSD
4;Notebook;Intel Core i3 7100U 2.4GHz;4;Dell;Inspiron 3567;Windows 10;19216,7235;6;15.6 col - 1366x768;1TB HDD
4;Notebook;Intel Celeron Dual Core N3060 1.6GHz;1;Acer;Aspire ES1-531;Linux ;12099,4185;4;15.6 col - 1366x768;500GB HDD
4;Notebook;Intel Celeron Dual Core N3050 1.6GHz;4;Dell;Inspiron 3552;Windows 10;15867,4035;2;15.6 col - 1366x768;500GB HDD
4;Notebook;Intel Core i7 6700HQ 2.6GHz;7;Lenovo;IdeaPad Y700-15ISK;Windows 10;37637,9835;8;15.6 col - IPS Panel Full HD 1920x1080;1TB HDD
4;Notebook;AMD A9-Series 9410 2.9GHz;6;HP;Pavilion 15-AW003nv;Windows 10;23026,15634;6;15.6 col - Full HD 1920x1080;1TB Hybrid
4;Notebook;Intel Core i7 7500U 2.7GHz;4;Dell;Inspiron 3567;Linux ;33743,98034;8;15.6 col - 1366x768;1TB HDD
3;Netbook;Intel Celeron Dual Core N3060 1.6GHz;6;HP;Stream 11-Y000na;Windows 10;8750,0985;2;11.6 col - 1366x768;32GB Flash Storage
4;Notebook;Intel Core i7 6500U 2.5GHz;3;Asus;X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce;Windows 10;30157,27728;4;15.6 col - 1366x768;500GB HDD
1;2 in 1 Convertible;Intel Core i7 6500U 2.5GHz;7;Lenovo;Yoga 500-14ISK;Windows 10;26710,827;4;14.0 col - IPS Panel Full HD / Touchscreen 1920x1080;128GB SSD
1;2 in 1 Convertible;Intel Core i7 6500U 2.5GHz;7;Lenovo;Yoga 900-13ISK;Windows 10;62757,8835;16;13.3 col - IPS Panel Quad HD+ / Touchscreen 3200x1800;512GB SSD
4;Notebook;Intel Celeron Dual Core N3050 1.6GHz;7;Lenovo;IdeaPad 100S-14IBR;Windows 10;9587,4285;2;14.0 col - 1366x768;64GB Flash Storage
4;Notebook;Intel Core i7 6500U 2.5GHz;6;HP;15-AC110nv (i7-6500U/6GB/1TB/Radeon;Windows 10;31986,006;6;15.6 col - 1366x768;1TB HDD
4;Notebook;Intel Celeron Dual Core N3050 1.6GHz;3;Asus;X553SA-XX031T (N3050/4GB/500GB/W10);Windows 10;15448,7385;4;15.6 col - 1366x768;500GB HDD
